Squadra;Categoria;"#0 (selfie)";"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (selfie)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#100 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"PELLAVIO G.";"Ludica";"(SELFIE)";"Leicester";"4";"Giorgio";"2";"Metallo";"41";"4";"1";"Giglio";"27";"Rossi";"3";"4";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"9";"16";"6";"3";"3";"-";"-";"-";"-";"7";"5";"-";"-";"-";"-";"3";"-";"-";"Mangia";"-";"Bottarelli";"28";"-";"Cinzia";"-";"12:38:21";"29"
"Sordo";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Irga";"Ludica";"(SELFIE)";"-";"-";"Giorgio";"2";"Metallo";"8";"-";"2";"-";"28";"-";"3";"-";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"4";"16";"6";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"28";"-";"-";"-";"12:28:45";"17"
"BAUBAU Piesek";"Ludica";"-";"-";"-";"Giorgio";"-";"Metallo";"-";"-";"3";"-";"-";"Rossi";"3";"-";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"4";"2";"14";"6";"3";"6";"-";"-";"19";"-";"7";"5";"Arrugginito";"-";"3";"-";"3";"1955";"-";"Mangia";"-";"Bottarelli";"-";"-";"-";"10";"12:12:13";"20"
"I CHIAPPAS";"Ludica";"(SELFIE)";"Leicester";"4";"Giorgio";"2";"Metallo";"41";"2";"1";"Giglio";"28";"Rossi";"3";"4";"Archimede";"Piccinino";"POPOLARE";"(SELFIE)";"2";"9";"16";"6";"3";"3";"-";"4";"-";"8";"6";"5";"-";"2";"-";"1";"3";"-";"TIR";"Mangia ";"7";"Bergamaschi";"28";"9";"-";"-";"12:35:37";"30"
"9CFU";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"The Triple Crochets";"Ludica";"(SELFIE)";"Leicester";"4";"Giorgio";"2";"Metallo";"41";"4";"3";"Giglio";"27";"Rossi";"3";"2";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"4";"16";"6";"3";"3";"Interruttori";"4";"19";"8";"7";"5";"-";"2";"3";"1";"3";"1955";"TIR";"Mangia";"7";"Bottarelli";"17";"9";"Cinzia ";"10";"12:17:23";"41"
"Gli scherzetti";"Ludica";"-";"Leicester";"4";"Giorgio";"-";"Metallo";"41";"2";"1";"Giglio ";"-";"Rossi";"2";"2";"Archimede";"Piccinino";"Popolare ";"(SELFIE)";"2";"4";"16";"-";"3";"3";"-";"-";"19";"8";"7";"5";"-";"2";"3";"1";"3";"-";"TIR";"Mangia";"-";"Costa";"26";"9";"Cinzia ";"-";"12:40:04";"27"
"Ultrapecos";"Ludica";"(SELFIE)";"Leicester";"-";"Giorgio ";"2";"Metallo";"41";"-";"-";"-";"27";"Rossi";"-";"-";"-";"-";"Popolare";"-";"3";"4";"13";"-";"-";"3";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"7";"-";"28";"-";"-";"-";"12:31:09";"15"
"Elettricità";"Ludica";"-";"LEICESTER";"-";"GIORGIO";"2";"METALLO";"8";"-";"4";"-";"-";"ROSSI";"2";"-";"ARCHIMEDE";"PICCININO";"POPOLARE";"(SELFIE)";"3";"3";"9";"6";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"25";"-";"-";"10";"11:58:12";"14"
"boioli";"Ludica";"(SELFIE)";"Leicester ";"4";"Giorgio ";"2";"metallo ";"41";"2";"1";"giglio ";"28";"rossi ";"3";"4";"archimede ";"Piccinino ";"popolare ";"(SELFIE)";"2";"4";"16";"6";"5";"0";"-";"4";"-";"8";"7";"5";"-";"2";"-";"1";"3";"-";"TIR";"magia ";"7";"bergamaschi ";"28";"9";"-";"-";"12:36:18";"29"
"Polarez";"Ludica";"-";"Leicester";"4";"San giorgio";"2";"Metallo";"41";"4";"3";"Giglio";"27";"Rossi p.";"3";"2";"Archimede";"Piccinino";"-";"(SELFIE)";"3";"4";"16";"6";"3";"-";"-";"-";"19.00€";"-";"-";"-";"Non c'è ";"-";"3";"-";"3";"1955";"-";"-";"-";"-";"-";"-";"Cinzia ";"-";"12:25:06";"22"
"I Giorgetty";"Ludica";"(SELFIE)";"-";"4";"Giorgio";"2";"Metallo";"41";"4";"1";"Giglio";"28";"Rossi";"3";"2";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"8";"16";"6";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"28";"-";"-";"10";"12:33:43";"22"
"DAGADA";"Ludica";"-";"ATLANTICO";"4";"Giorgio";"2";"Metallo";"8";"4";"3";"Giglio";"41";"Lions";"3";"4";"Archimede";"Machiavelli";"Popolare";"(SELFIE)";"4";"9";"15";"6";"3";"3";"Stambecchi";"0";"34";"3";"5";"-";"-";"-";"-";"-";"3";"-";"-";"-";"7";"-";"28";"0";"-";"-";"12:38:25";"18"
"Catamisa";"Ludica";"(SELFIE)";"Leicester";"4";"Giorgio";"2";"Metallo";"41";"4";"2";"Giglio";"27";"Rossi D.";"3";"10";"Archimede";"Piccinino";"Popolare";"(SELFIE)";"3";"4";"16";"6";"3";"3";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"7";"-";"28";"-";"Cinzia";"-";"12:34:31";"26"
